student_id, name,surname,email,lecture,points, how_many_times_attended
2014-93730,ALI,AYDOGAN,aliaydogan@ce1.marmara.edu.tr,CS101,42,2
2014-92448,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS231,42,2
2014-92448,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS101,14,1
2014-15950,TUNA,OZKAN,tunaozkan@ce1.marmara.edu.tr,CS231,79,1
2014-15950,TUNA,OZKAN,tunaozkan@ce1.marmara.edu.tr,CS101,26,2
2014-15950,TUNA,OZKAN,tunaozkan@ce1.marmara.edu.tr,CS102,25,2
2015-24678,GULSUM,GUL,g.gul@ce1.marmara.edu.tr,CS101,56,1
2015-97074,GULSUM,AY,g.ay@ce1.marmara.edu.tr,CS101,73,2
2015-97074,GULSUM,AY,g.ay@ce1.marmara.edu.tr,CS231,65,1
2015-52786,EMRE,OZDEMIR,e.ozdemir@ce1.marmara.edu.tr,CS101,25,2
2015-52786,EMRE,OZDEMIR,e.ozdemir@ce1.marmara.edu.tr,CS231,58,2
2014-76495,LALE,FATIH,lalefatih@ce1.marmara.edu.tr,CS101,81,2
2015-48713,HUSEYIN,DILER,h.diler@ce1.marmara.edu.tr,CS231,69,2
2015-64921,MUSTAFA,HIKMET,m.hikmet@ce1.marmara.edu.tr,CS231,87,1
2015-35409,ISMAIL,GUL,i.gul@ce1.marmara.edu.tr,CS231,34,1
2015-67977,MEHMET,KARA,m.kara@ce1.marmara.edu.tr,CS101,89,1
2014-43655,OZGUR,KOC,ozgurkoc@ce1.marmara.edu.tr,CS101,46,1
2014-63122,EFE,YILDIRIM,efeyildirim@ce1.marmara.edu.tr,CS231,38,1
2015-32867,EMRE,KOC,e.koc@ce1.marmara.edu.tr,CS101,91,1
2015-32867,EMRE,KOC,e.koc@ce1.marmara.edu.tr,CS231,79,2
2015-56131,TUNA,GURCAN,t.gurcan@ce1.marmara.edu.tr,CS101,88,2
2015-56998,ALI,AYDOGAN,a.aydogan@ce1.marmara.edu.tr,CS231,69,2
2015-56998,ALI,AYDOGAN,a.aydogan@ce1.marmara.edu.tr,CS101,100,2
2015-44911,TUNA,HIKMET,t.hikmet@ce1.marmara.edu.tr,CS231,17,2
2014-44627,ELIF,ISIK,elifisik@ce1.marmara.edu.tr,CS101,80,1
2014-44627,ELIF,ISIK,elifisik@ce1.marmara.edu.tr,CS102,76,1
2015-07092,ISMAIL,AKTAS,i.aktas@ce1.marmara.edu.tr,CS231,51,2
2014-14054,ELIF,AKTAS,elifaktas@ce1.marmara.edu.tr,CS101,44,1
2014-14054,ELIF,AKTAS,elifaktas@ce1.marmara.edu.tr,CS102,74,1
2014-14054,ELIF,AKTAS,elifaktas@ce1.marmara.edu.tr,CS365,25,2
2014-19999,FATMA,KAYA,fatmakaya@ce1.marmara.edu.tr,CS231,83,1
2014-19999,FATMA,KAYA,fatmakaya@ce1.marmara.edu.tr,CS101,59,2
2014-19999,FATMA,KAYA,fatmakaya@ce1.marmara.edu.tr,CS102,31,1
2014-66163,AHMET,FATIH,ahmetfatih@ce1.marmara.edu.tr,CS231,45,1
2014-51810,AYSE,YILMAZ,ayseyilmaz@ce1.marmara.edu.tr,CS101,87,2
2014-94609,HASAN,DILER,hasandiler@ce1.marmara.edu.tr,CS101,87,1
2015-84366,BETUL,OZDEMIR,b.ozdemir@ce1.marmara.edu.tr,CS101,80,2
2014-12471,NISA,GUL,nisagul@ce1.marmara.edu.tr,CS231,16,2
2014-92439,HASAN,SULEYMAN,hasansuleyman@ce1.marmara.edu.tr,CS231,13,2
2015-09170,VELI,ILHAN,v.ilhan@ce1.marmara.edu.tr,CS101,66,1
2015-86393,UMUT,ESEN,u.esen@ce1.marmara.edu.tr,CS231,53,1
2014-15125,NURAY,ARSLAN,nurayarslan@ce1.marmara.edu.tr,CS231,62,1
2014-15125,NURAY,ARSLAN,nurayarslan@ce1.marmara.edu.tr,CS101,70,1
2015-75224,EGE,YILDIRIM,e.yildirim@ce1.marmara.edu.tr,CS101,68,2
2015-70737,AYLIN,GURCAN,a.gurcan@ce1.marmara.edu.tr,CS231,35,1
2015-70737,AYLIN,GURCAN,a.gurcan@ce1.marmara.edu.tr,CS101,90,1
2015-68217,CANAN,KARA,c.kara@ce1.marmara.edu.tr,CS101,37,2
2014-07426,HASAN,KAYA,hasankaya@ce1.marmara.edu.tr,CS101,47,1
2015-80233,TUNA,ASLAN,t.aslan@ce1.marmara.edu.tr,CS101,75,2
2014-95606,CAN,OZKAN,canozkan@ce1.marmara.edu.tr,CS231,77,2
2015-35024,RABIA,SIMSEK,r.simsek@ce1.marmara.edu.tr,CS231,30,2
2014-32672,GULSUM,ESEN,gulsumesen@ce1.marmara.edu.tr,CS231,60,1
2014-32672,GULSUM,ESEN,gulsumesen@ce1.marmara.edu.tr,CS101,81,2
2014-32672,GULSUM,ESEN,gulsumesen@ce1.marmara.edu.tr,CS102,45,2
2015-65225,BILGE,ESEN,b.esen@ce1.marmara.edu.tr,CS101,53,1
2015-30256,EMRE,OZKAN,e.ozkan@ce1.marmara.edu.tr,CS101,13,1
2015-30256,EMRE,OZKAN,e.ozkan@ce1.marmara.edu.tr,CS102,98,1
2014-81850,FATMA,ESEN,fatmaesen@ce1.marmara.edu.tr,CS231,30,1
2015-07508,ELIF,OZDEMIR,e.ozdemir@ce1.marmara.edu.tr,CS101,60,2
2015-07508,ELIF,OZDEMIR,e.ozdemir@ce1.marmara.edu.tr,CS102,30,1
2015-66074,ISMAIL,YILDIRIM,i.yildirim@ce1.marmara.edu.tr,CS231,10,1
2015-66074,ISMAIL,YILDIRIM,i.yildirim@ce1.marmara.edu.tr,CS101,24,1
2014-88800,AHMET,ILHAN,ahmetilhan@ce1.marmara.edu.tr,CS101,66,1
2015-96235,HASAN,AYDOGAN,h.aydogan@ce1.marmara.edu.tr,CS231,67,1
2015-46574,FIKRET,AYDOGAN,f.aydogan@ce1.marmara.edu.tr,CS231,64,1
2015-95851,SEMRA,AY,s.ay@ce1.marmara.edu.tr,CS231,55,2
2014-81599,EMRE,OZKAN,emreozkan@ce1.marmara.edu.tr,CS101,39,2
2014-81599,EMRE,OZKAN,emreozkan@ce1.marmara.edu.tr,CS102,56,1
2014-10532,EFE,OZDEMIR,efeozdemir@ce1.marmara.edu.tr,CS231,10,2
2014-05770,MUSTAFA,HIKMET,mustafahikmet@ce1.marmara.edu.tr,CS101,14,2
2014-05770,MUSTAFA,HIKMET,mustafahikmet@ce1.marmara.edu.tr,CS102,70,2
2015-72884,HILAL,PEK,h.pek@ce1.marmara.edu.tr,CS231,81,1
2014-62137,CAN,PEK,canpek@ce1.marmara.edu.tr,CS231,16,2
2014-62137,CAN,PEK,canpek@ce1.marmara.edu.tr,CS101,37,1
2014-62137,CAN,PEK,canpek@ce1.marmara.edu.tr,CS102,57,2
2014-11023,ELIF,FATIH,eliffatih@ce1.marmara.edu.tr,CS231,54,2
2014-42548,HARUN,ESEN,harunesen@ce1.marmara.edu.tr,CS231,74,2
2014-42548,HARUN,ESEN,harunesen@ce1.marmara.edu.tr,CS101,71,2
2015-22398,MEHMET,SIMSEK,m.simsek@ce1.marmara.edu.tr,CS231,67,1
2015-22398,MEHMET,SIMSEK,m.simsek@ce1.marmara.edu.tr,CS101,56,1
2015-25563,ISMAIL,YILDIRIM,i.yildirim@ce1.marmara.edu.tr,CS101,15,2
2015-07169,UMUT,CELIK,u.celik@ce1.marmara.edu.tr,CS231,88,2
2014-29902,UGUR,AYDIN,uguraydin@ce1.marmara.edu.tr,CS101,87,2
2015-83994,EFE,AY,e.ay@ce1.marmara.edu.tr,CS231,44,1
2015-97391,GULSUM,OZER,g.ozer@ce1.marmara.edu.tr,CS101,66,2
2014-08280,OZGUR,OZER,ozgurozer@ce1.marmara.edu.tr,CS231,30,1
2014-65746,EFE,YILMAZ,efeyilmaz@ce1.marmara.edu.tr,CS101,57,1
2014-65746,EFE,YILMAZ,efeyilmaz@ce1.marmara.edu.tr,CS231,24,2
2014-52142,FATMA,DOGAN,fatmadogan@ce1.marmara.edu.tr,CS101,10,1
2014-52142,FATMA,DOGAN,fatmadogan@ce1.marmara.edu.tr,CS231,60,2
2014-64964,BETUL,GURCAN,betulgurcan@ce1.marmara.edu.tr,CS231,31,1
2014-68577,SIBEL,AKTAS,sibelaktas@ce1.marmara.edu.tr,CS231,89,1
2014-40004,BILGE,CAN,bilgecan@ce1.marmara.edu.tr,CS101,94,2
2014-13333,FIKRET,CAN,fikretcan@ce1.marmara.edu.tr,CS231,15,1
2014-13333,FIKRET,CAN,fikretcan@ce1.marmara.edu.tr,CS101,93,2
2015-04118,OZGUR,ISIK,o.isik@ce1.marmara.edu.tr,CS231,74,2
2015-54200,ALI,YILMAZ,a.yilmaz@ce1.marmara.edu.tr,CS101,58,2
2014-07408,MUSTAFA,PEK,mustafapek@ce1.marmara.edu.tr,CS101,89,2
2014-77033,HARUN,KOC,harunkoc@ce1.marmara.edu.tr,CS231,17,2
2014-77033,HARUN,KOC,harunkoc@ce1.marmara.edu.tr,CS101,26,1
2014-88004,FATMA,OZKAN,fatmaozkan@ce1.marmara.edu.tr,CS101,35,2
2014-88004,FATMA,OZKAN,fatmaozkan@ce1.marmara.edu.tr,CS231,64,1
2015-61424,AYLIN,SIMSEK,a.simsek@ce1.marmara.edu.tr,CS231,64,1
2015-61424,AYLIN,SIMSEK,a.simsek@ce1.marmara.edu.tr,CS101,12,1
2015-33829,FATMA,DILER,f.diler@ce1.marmara.edu.tr,CS231,69,2
2015-41486,ISMAIL,ILHAN,i.ilhan@ce1.marmara.edu.tr,CS231,83,2
2015-82985,LALE,HIKMET,l.hikmet@ce1.marmara.edu.tr,CS231,90,1
2014-78284,AHMET,KURT,ahmetkurt@ce1.marmara.edu.tr,CS101,90,2
2014-78284,AHMET,KURT,ahmetkurt@ce1.marmara.edu.tr,CS102,60,2
2015-41194,AZRA,AKTAS,a.aktas@ce1.marmara.edu.tr,CS101,85,2
2015-41194,AZRA,AKTAS,a.aktas@ce1.marmara.edu.tr,CS102,13,2
2014-77423,AYSE,ILHAN,ayseilhan@ce1.marmara.edu.tr,CS231,94,1
2015-84564,UMUT,OZER,u.ozer@ce1.marmara.edu.tr,CS231,39,2
2015-84535,AYLIN,OZDEMIR,a.ozdemir@ce1.marmara.edu.tr,CS231,81,1
2015-72634,UGUR,OZER,u.ozer@ce1.marmara.edu.tr,CS231,35,1
2014-94831,UGUR,AKTAS,uguraktas@ce1.marmara.edu.tr,CS101,92,2
2014-94831,UGUR,AKTAS,uguraktas@ce1.marmara.edu.tr,CS231,95,1
2014-94831,UGUR,AKTAS,uguraktas@ce1.marmara.edu.tr,CS102,58,1
2014-94831,UGUR,AKTAS,uguraktas@ce1.marmara.edu.tr,CS464,29,1
2014-70295,HASAN,KARA,hasankara@ce1.marmara.edu.tr,CS101,59,2
2014-70295,HASAN,KARA,hasankara@ce1.marmara.edu.tr,CS231,10,1
2014-03333,GULSUM,CAN,gulsumcan@ce1.marmara.edu.tr,CS231,60,2
2014-03333,GULSUM,CAN,gulsumcan@ce1.marmara.edu.tr,CS101,91,1
2014-72293,HASAN,GUL,hasangul@ce1.marmara.edu.tr,CS101,33,2
2014-72293,HASAN,GUL,hasangul@ce1.marmara.edu.tr,CS102,70,2
2014-72293,HASAN,GUL,hasangul@ce1.marmara.edu.tr,CS464,68,1
2014-72293,HASAN,GUL,hasangul@ce1.marmara.edu.tr,CS231,41,2
2015-17249,LALE,AKTAS,l.aktas@ce1.marmara.edu.tr,CS101,76,2
2015-65968,FIKRET,OZER,f.ozer@ce1.marmara.edu.tr,CS101,74,1
2015-65968,FIKRET,OZER,f.ozer@ce1.marmara.edu.tr,CS102,35,1
2014-50436,AYLIN,GURCAN,aylingurcan@ce1.marmara.edu.tr,CS101,51,2
2014-50436,AYLIN,GURCAN,aylingurcan@ce1.marmara.edu.tr,CS231,85,1
2014-12164,SEMRA,GURCAN,semragurcan@ce1.marmara.edu.tr,CS101,23,2
2015-10625,ELIF,ASLAN,e.aslan@ce1.marmara.edu.tr,CS231,42,1
2014-41535,ALI,AYDIN,aliaydin@ce1.marmara.edu.tr,CS231,66,2
2015-57413,EFE,CAN,e.can@ce1.marmara.edu.tr,CS231,52,2
2015-36729,FIKRET,ISIK,f.isik@ce1.marmara.edu.tr,CS101,41,1
2015-36729,FIKRET,ISIK,f.isik@ce1.marmara.edu.tr,CS102,35,1
2015-36729,FIKRET,ISIK,f.isik@ce1.marmara.edu.tr,CS231,64,2
2014-21882,SEMRA,KARA,semrakara@ce1.marmara.edu.tr,CS231,32,1
2015-28279,MEHMET,AYDOGAN,m.aydogan@ce1.marmara.edu.tr,CS231,52,1
2015-56923,EGE,OZER,e.ozer@ce1.marmara.edu.tr,CS231,22,1
2015-23228,HARUN,ARSLAN,h.arslan@ce1.marmara.edu.tr,CS101,85,1
2015-23228,HARUN,ARSLAN,h.arslan@ce1.marmara.edu.tr,CS102,69,2
2015-23228,HARUN,ARSLAN,h.arslan@ce1.marmara.edu.tr,CS231,95,1
2015-83299,NURAY,SULEYMAN,n.suleyman@ce1.marmara.edu.tr,CS231,23,1
2014-87670,CIGDEM,ILHAN,cigdemilhan@ce1.marmara.edu.tr,CS231,75,2
2014-87670,CIGDEM,ILHAN,cigdemilhan@ce1.marmara.edu.tr,CS101,28,2
2014-31059,ALI,ARSLAN,aliarslan@ce1.marmara.edu.tr,CS231,23,1
2015-57391,AZRA,AYDIN,a.aydin@ce1.marmara.edu.tr,CS231,10,1
2015-57391,AZRA,AYDIN,a.aydin@ce1.marmara.edu.tr,CS101,51,2
2014-92871,SIBEL,ESEN,sibelesen@ce1.marmara.edu.tr,CS101,72,2
2014-44681,SALIH,ISIK,salihisik@ce1.marmara.edu.tr,CS101,51,1
2014-44681,SALIH,ISIK,salihisik@ce1.marmara.edu.tr,CS231,76,2
2015-91857,CANAN,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS101,41,1
2014-05228,MUSTAFA,ASLAN,mustafaaslan@ce1.marmara.edu.tr,CS231,28,2
2014-71120,SALIH,CAN,salihcan@ce1.marmara.edu.tr,CS101,39,1
2014-11996,ISMAIL,HIKMET,ismailhikmet@ce1.marmara.edu.tr,CS231,54,2
2014-84242,RABIA,YILDIRIM,rabiayildirim@ce1.marmara.edu.tr,CS101,33,2
2014-84242,RABIA,YILDIRIM,rabiayildirim@ce1.marmara.edu.tr,CS102,77,1
2014-97449,AYSE,DOGAN,aysedogan@ce1.marmara.edu.tr,CS101,79,1
2014-97449,AYSE,DOGAN,aysedogan@ce1.marmara.edu.tr,CS102,27,2
2014-97449,AYSE,DOGAN,aysedogan@ce1.marmara.edu.tr,CS464,20,1
2014-66098,MUSTAFA,AYDIN,mustafaaydin@ce1.marmara.edu.tr,CS231,18,2
2014-66098,MUSTAFA,AYDIN,mustafaaydin@ce1.marmara.edu.tr,CS101,28,2
2014-49876,AZRA,GUL,azragul@ce1.marmara.edu.tr,CS101,41,1
2014-49876,AZRA,GUL,azragul@ce1.marmara.edu.tr,CS231,23,2
2014-37525,UMUT,KAYA,umutkaya@ce1.marmara.edu.tr,CS101,23,1
2015-75430,HUSEYIN,GUL,h.gul@ce1.marmara.edu.tr,CS101,55,1
2015-75430,HUSEYIN,GUL,h.gul@ce1.marmara.edu.tr,CS102,85,2
2014-26629,RABIA,ESEN,rabiaesen@ce1.marmara.edu.tr,CS101,93,2
2014-26629,RABIA,ESEN,rabiaesen@ce1.marmara.edu.tr,CS102,35,1
2015-60552,CIGDEM,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS101,13,1
2015-60552,CIGDEM,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS102,60,2
2015-26530,GULSUM,YILMAZ,g.yilmaz@ce1.marmara.edu.tr,CS101,78,2
2015-87161,AYLIN,ISIK,a.isik@ce1.marmara.edu.tr,CS101,47,2
2014-76340,AYSE,OZKAN,ayseozkan@ce1.marmara.edu.tr,CS231,98,1
2014-60513,SALIH,AYDOGAN,salihaydogan@ce1.marmara.edu.tr,CS231,49,1
2014-73009,HILAL,OZER,hilalozer@ce1.marmara.edu.tr,CS101,28,2
2014-49893,AYSE,ARSLAN,aysearslan@ce1.marmara.edu.tr,CS101,80,1
2014-40116,ELIF,SULEYMAN,elifsuleyman@ce1.marmara.edu.tr,CS101,34,2
2014-40116,ELIF,SULEYMAN,elifsuleyman@ce1.marmara.edu.tr,CS102,53,2
2014-53251,NISA,AKTAS,nisaaktas@ce1.marmara.edu.tr,CS101,88,1
2015-64261,AHMET,ISIK,a.isik@ce1.marmara.edu.tr,CS101,66,2
2015-64261,AHMET,ISIK,a.isik@ce1.marmara.edu.tr,CS231,73,2
2015-64261,AHMET,ISIK,a.isik@ce1.marmara.edu.tr,CS102,12,2
